idProduccion;Clasificacion_Produccion;Tipo_Produccion;Validacion_Produccion;N_Registro_Produccion;Descripcion_Produccion;Nombre_Produccion;Informacion_Adicional_Produccion;Autores_Produccion;Col_Grupo_Codigo_GrupLAC
34;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;34 ;Publicado en revista especializada ;Calidad Superficial en el Prototipado rapido, Proceso FDM ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2004 vol:56 fasc: Dic págs: 28 - 32, DOI: ;LISANDRO VARGAS HENRIQUEZ, ERNESTO CORDOBA NIETO, ;nro=00000000000724;
35;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;35 ;Publicado en revista especializada ;Automatización de la inspección y control de calidad de engranajes ;Colombia, Metalmecánica ISSN: 0124-3969, 2004 vol:9 fasc: NA págs: 30 - 33, DOI: ;ERNESTO CORDOBA NIETO, ;nro=00000000000724;
36;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;36 ;Publicado en revista especializada ;Estudio de la Calidad Superficial en el Prototipado R pido ;Colombia, (2011-2416) 4 Revista De Investigación Interdisciplinaria Mejoramiento Continuado De Procesos Y Métodos De Diseño ,Manufactura Y Automatización ISSN: 2011-2416, 2004 vol:1 fasc: 1 págs: 58 - 65, DOI: ;LISANDRO VARGAS HENRIQUEZ, ;nro=00000000000724;
37;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;37 ;Publicado en revista especializada ;Proceso de automatización mediante tecnologia de grupos ;Colombia, Metalmecánica ISSN: 0124-3969, 2004 vol:2 fasc: págs: 30 - 36, DOI: ;ERNESTO CORDOBA NIETO, JORGE ANDRES GARCIA, ;nro=00000000000724;
38;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;No;38 ;Publicado en revista especializada ;Señales de Prueba ;Colombia, Grupo de Trabajo Nuevas Tecnologías Diseño y Manufactura Automaitización ISSN: 0, 2004 vol:1 fasc: NA págs: 100 - 107, DOI: ;ALVARO ACERO ROZO, ALFONSO BOHORQUEZ TORRES, ;nro=00000000000724;
39;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;39 ;Publicado en revista especializada ;Usos y abusos de la Propiedad Intelectual ;Colombia, Revista Trans ISSN: 0124-373X, 2003 vol:3 fasc: 1 págs: 48 - 56, DOI: ;ALVARO ZERDA SARMIENTO, ;nro=00000000000724;
40;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;40 ;Publicado en revista especializada ;Ciencia y tecnología en el Plan de Desarrollo ;Colombia, Cuadernos De Economia ISSN: 0121-4772, 2003 vol:39 fasc: N/A págs: 124 - 132, DOI: ;ALVARO ZERDA SARMIENTO, ;nro=00000000000724;
41;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;41 ;Publicado en revista especializada ;Inserción competitiva en una economía globalizada ;Colombia, Apuntes Del Cenes ISSN: 0120-3053, 2002 vol:34 fasc: 1 págs: 49 - 57, DOI: ;ALVARO ZERDA SARMIENTO, ;nro=00000000000724;
42;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;42 ;Publicado en revista especializada ;Intellectual Property Rights over Ethnic Communities´ Knowledge ;Colombia, International Social Science Journal ISSN: 0020-8701, 2002 vol:54 fasc: 171 págs: 99 - 114, DOI: ;ALVARO ZERDA SARMIENTO, ;nro=00000000000724;
43;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;No;43 ;Publicado en revista especializada ;CONCEPTUALIZACION Y EVALUACION TECNICA DE PROYECTOS DE AUTOMATIZACION ;Colombia, Memorias Segundo Congreso Colombiano de Ingeniería Mecánica ISSN: 0, 2001 vol: fasc: págs: - , DOI: ;MARIA ALEJANDRA GUZMAN PARDO, ;nro=00000000000724;
44;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;44 ;Publicado en revista especializada ;Nueva carrera de Ingenieria Mecatrónica ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2001 vol:47 fasc: NA págs: 130 - 140, DOI: ;ERNESTO CORDOBA NIETO, ;nro=00000000000724;
45;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;No;45 ;Publicado en revista especializada ;Desarrollo de Robots programables en la UN ;Colombia, Memorias Primer Congreso Colombiano de Ingeniería Mecánica ISSN: 0, 1999 vol:1 fasc: págs: 10 - 18, DOI: ;MARIA ALEJANDRA GUZMAN PARDO, JESUS ALBERTO DELGADO, GUSTAVO RAMIREZ, ;nro=00000000000724;
46;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;46 ;Publicado en revista especializada ;Facultad de ingeniería hacia el siglo XXI ;Colombia, Ingeniería E Investigación ISSN: 0129-5608, 1998 vol:37 fasc: 1 págs: 33 - 37, DOI: ;ERNESTO CORDOBA NIETO, ;nro=00000000000724;
47;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;47 ;Publicado en revista especializada ;Pequeñas y medianas industrias o la parábola de Liliput ;Colombia, Cuadernos De Economia ISSN: 0121-4772, 1996 vol:25 fasc: 1 págs: 7 - 31, DOI: ;ALVARO ZERDA SARMIENTO, NICOLAS RINCON, ;nro=00000000000724;
48;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;48 ;Publicado en revista especializada ;Remoción de metales pesados en aguas residuales industriales ;Colombia, Revista Colombiana De Quimica ISSN: 0120-2804, 1985 vol:14 fasc: N/A págs: 89 - 97, DOI: ;CARLOS ALBERTO GUERRERO FAJARDO, EDUARDO CRUZ, ;nro=00000000000724;
49;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;No;49 ;Publicado en revista especializada ;Optimización en fresadora universal en talladora de engranajes ;Colombia, Ingeniería E Investigación ISSN: 0129-5608, 1983 vol: fasc: págs: 32 - 41, DOI: ;ERNESTO CORDOBA NIETO, ;nro=00000000000724;
50;PRODUCCIÓN BIBLIOGRÁFICA;Libros publicados;Si;1 ;Libro resultado de investigación ;Inspecciñn de la Calidad Superficial en el Prototipado R pido ;España,2015, ISBN: 978-3-659-09049-3 vol: págs: , Ed. Académica Espaola ;LISANDRO VARGAS HENRIQUEZ, ERNESTO CORDOBA NIETO, ;nro=00000000000724;
51;PRODUCCIÓN BIBLIOGRÁFICA;Libros publicados;Si;2 ;Libro resultado de investigación ;Control De Movimiento En Manufactura - Automatización Cnc - Fundamentos De Diseño Y Modelamiento Experimental ;Colombia,2013, ISBN: 978-958-761-724-5 vol: págs: , Ed. Editorial Universidad Nacional De Colombia ;ERNESTO CORDOBA NIETO, JORGE ANDRES GARCIA BARBOSA, ;nro=00000000000724;
52;PRODUCCIÓN BIBLIOGRÁFICA;Libros publicados;Si;3 ;Libro resultado de investigación ;Transmisión Flexondulatoria Armónica ;Colombia,2011, ISBN: 978-958-719-917-8 vol: 1 págs: 145, Ed. Unibiblos Universidad Nacional De Colombia ;ERNESTO CORDOBA NIETO, JUAN CARLOS SANTAMARIA, FREDDY SANTIAGO CARO DIAZ, SAULO GOMEZ, CESAR AUGUSTO SUAREZ PARRA, NELSON ARZOLA, ARTURO PERPINAN RAMIREZ, ;nro=00000000000724;
53;PRODUCCIÓN BIBLIOGRÁFICA;Libros publicados;Si;4 ;Libro resultado de investigación ;Automatización Y Repotenciaciñn Tecnológica Del Proceso Industrial Del Control De Calidad De Engranajes ;Colombia,2010, ISBN: 978-958-719-124-0 vol: 1 págs: 204, Ed. Unibiblos Universidad Nacional De Colombia ;ERNESTO CORDOBA NIETO, ;nro=00000000000724;
54;PRODUCCIÓN BIBLIOGRÁFICA;Libros publicados;Si;5 ;Libro resultado de investigación ;Aceite de higuerilla Alternativa como combustible ;Colombia,2009, ISBN: 978-958-99238-0-1 vol: 1 págs: 94, Ed. Universidad Nacional De Colombia Departamento De Ingenieria Mecanica ;CARLOS ALBERTO GUERRERO FAJARDO, ;nro=00000000000724;
55;PRODUCCIÓN BIBLIOGRÁFICA;Libros publicados;Si;6 ;Libro resultado de investigación ;Procesos de gasificación de materiales orgánicos ;Colombia,2009, ISBN: 9789589923818 vol: 1 págs: 241, Ed. Universidad Nacional De Colombia Departamento De Ingenieria Mecanica ;CARLOS ALBERTO GUERRERO FAJARDO, ;nro=00000000000724;
